/* name  screen  seed — state is generated deterministically from the seed */
spec-1	spectrum	1
spec-2	spectrum	7
spec-3	spectrum	12345
spec-4	spectrum	99999999
spec-5	spectrum	2166136261
spec-6	spectrum	0
spec-7	spectrum	4294967295
mirr-1	mirror	1
mirr-2	mirror	7
mirr-3	mirror	12345
mirr-4	mirror	0
mirr-5	mirror	4294967295
scope-1	scope	1
scope-2	scope	7
scope-3	scope	12345
scope-4	scope	0
scope-5	scope	4294967295
city-1	city	1
city-2	city	7
city-3	city	12345
city-4	city	0
city-5	city	4294967295
wf-1	waterfall	1
wf-2	waterfall	7
wf-3	waterfall	12345
wf-4	waterfall	0
wf-5	waterfall	4294967295
vu-1	vu	1
vu-2	vu	7
vu-3	vu	12345
vu-4	vu	0
vu-5	vu	4294967295
vu-6	vu	31337
d3-1	3d	1
d3-2	3d	7
d3-3	3d	12345
d3-4	3d	0
d3-5	3d	4294967295
